WDA,Employer,Measure,Workforce Development Area,Title1,Jan-20,Jan-21,Volume Chg
Berks,CVS Health,Top Employers,Berks,CVS Health,14,36,22
Berks,Boston Market,Top Employers,Berks,Boston Market,0,27,27
Berks,East Penn Manufacturing Company Incorporated,Top Employers,Berks,East Penn Manufacturing Company Incorporated,0,28,28
Berks,Peopleready,Top Employers,Berks,Peopleready,0,30,30
Berks,Reading Hospital,Top Employers,Berks,Reading Hospital,6,36,30
Berks,Ashley Furniture,Top Employers,Berks,Ashley Furniture,20,57,37
Berks,Penske,Top Employers,Berks,Penske,74,115,41
Berks,Amazon,Top Employers,Berks,Amazon,0,48,48
Berks,Tower Health System,Top Employers,Berks,Tower Health System,257,311,54
Berks,Redners Markets Incorporated,Top Employers,Berks,Redners Markets Incorporated,8,124,116
Bucks,Trinity Health,Top Employers,Bucks,Trinity Health,153,15,-138
Bucks,"Lowe's Companies, Inc",Top Employers,Bucks,"Lowe's Companies, Inc",137,49,-88
Bucks,Rite Aid Corporation,Top Employers,Bucks,Rite Aid Corporation,90,13,-77
Bucks,AutoZone Auto Parts,Top Employers,Bucks,AutoZone Auto Parts,46,15,-31
Bucks,Sp Industries Incorporated,Top Employers,Bucks,Sp Industries Incorporated,41,20,-21
Bucks,Allstate,Top Employers,Bucks,Allstate,35,15,-20
Bucks,Children America,Top Employers,Bucks,Children America,35,17,-18
Bucks,Phoebe Ministries,Top Employers,Bucks,Phoebe Ministries,42,26,-16
Bucks,Lower Bucks Hospital,Top Employers,Bucks,Lower Bucks Hospital,80,64,-16
Bucks,Waste Management,Top Employers,Bucks,Waste Management,27,13,-14
Bucks,Doylestown Hospital,Top Employers,Bucks,Doylestown Hospital,37,23,-14
Bucks,Erickson Living,Top Employers,Bucks,Erickson Living,47,34,-13
Bucks,Allegheny Valley School,Top Employers,Bucks,Allegheny Valley School,25,14,-11
Bucks,Advance Auto Parts Incorporated,Top Employers,Bucks,Advance Auto Parts Incorporated,44,34,-10
Bucks,Woods,Top Employers,Bucks,Woods,61,51,-10
Bucks,Penn Foundation Incorporated,Top Employers,Bucks,Penn Foundation Incorporated,23,14,-9
Bucks,Dollar Tree,Top Employers,Bucks,Dollar Tree,30,21,-9
Bucks,The Home Depot Incorporated,Top Employers,Bucks,The Home Depot Incorporated,68,59,-9
Bucks,McDonald's,Top Employers,Bucks,McDonald's,25,17,-8
Bucks,Ciocca Dealerships,Top Employers,Bucks,Ciocca Dealerships,20,13,-7
Bucks,Sodexo,Top Employers,Bucks,Sodexo,19,13,-6
Bucks,Prime Healthcare,Top Employers,Bucks,Prime Healthcare,46,42,-4
Bucks,Penn Community Bank,Top Employers,Bucks,Penn Community Bank,19,16,-3
Bucks,Brookdale Senior Living,Top Employers,Bucks,Brookdale Senior Living,25,22,-3
Bucks,Pyramid Healthcare,Top Employers,Bucks,Pyramid Healthcare,17,15,-2
Bucks,United Parcel Service Incorporated,Top Employers,Bucks,United Parcel Service Incorporated,18,16,-2
Bucks,Wegmans,Top Employers,Bucks,Wegmans,20,18,-2
Bucks,Comcast,Top Employers,Bucks,Comcast,21,20,-1
Bucks,Citizens Financial Group,Top Employers,Bucks,Citizens Financial Group,24,23,-1
Bucks,Pep Boys,Top Employers,Bucks,Pep Boys,24,23,-1
Bucks,Kindercare,Top Employers,Bucks,Kindercare,52,51,-1
Bucks,Wesley Enhanced Living,Top Employers,Bucks,Wesley Enhanced Living,28,28,0
Bucks,Ryder System Incorporated,Top Employers,Bucks,Ryder System Incorporated,12,14,2
Bucks,Abb Incorporated,Top Employers,Bucks,Abb Incorporated,11,14,3
Bucks,Fred Beans Automotive,Top Employers,Bucks,Fred Beans Automotive,11,14,3
Bucks,Elderwood/Pediatric/Postacute/Woodmark,Top Employers,Bucks,Elderwood/Pediatric/Postacute/Woodmark,13,16,3
Bucks,Staples,Top Employers,Bucks,Staples,20,23,3
Bucks,St. Luke's University Health Network,Top Employers,Bucks,St. Luke's University Health Network,73,76,3
Bucks,Bluepearl,Top Employers,Bucks,Bluepearl,12,16,4
Bucks,Enterprise Rent-A-Car,Top Employers,Bucks,Enterprise Rent-A-Car,12,17,5
Bucks,DNV GL,Top Employers,Bucks,DNV GL,8,14,6
Bucks,84 Lumber Company,Top Employers,Bucks,84 Lumber Company,8,15,7
Bucks,Healthcare Services Group Incorporated,Top Employers,Bucks,Healthcare Services Group Incorporated,15,22,7
Bucks,Oldcastle Precast Incorporated,Top Employers,Bucks,Oldcastle Precast Incorporated,24,31,7
Bucks,Genesis Healthcare Corporation,Top Employers,Bucks,Genesis Healthcare Corporation,26,33,7
Bucks,Red Robin,Top Employers,Bucks,Red Robin,7,15,8
Bucks,Seaworld Parks And Entertainment,Top Employers,Bucks,Seaworld Parks And Entertainment,17,25,8
Bucks,Advantage Sales & Marketing,Top Employers,Bucks,Advantage Sales & Marketing,18,26,8
Bucks,Woods Services,Top Employers,Bucks,Woods Services,26,34,8
Bucks,HCR ManorCare,Top Employers,Bucks,HCR ManorCare,13,22,9
Bucks,U-Haul,Top Employers,Bucks,U-Haul,31,40,9
Bucks,Always Best Care Senior Services,Top Employers,Bucks,Always Best Care Senior Services,6,16,10
Bucks,Neshaminy School District,Top Employers,Bucks,Neshaminy School District,4,15,11
Bucks,General Electric Company,Top Employers,Bucks,General Electric Company,5,16,11
Bucks,Chipotle Mexican Grill,Top Employers,Bucks,Chipotle Mexican Grill,13,24,11
Bucks,Aveanna,Top Employers,Bucks,Aveanna,20,31,11
Bucks,Epam Systems Limited,Top Employers,Bucks,Epam Systems Limited,34,45,11
Bucks,XPO Logistics,Top Employers,Bucks,XPO Logistics,3,15,12
Bucks,Quad,Top Employers,Bucks,Quad,12,24,12
Bucks,Comforcare Home Health Care Lower,Top Employers,Bucks,Comforcare Home Health Care Lower,1,14,13
Bucks,Applebee's Neighborhood Grill & Bar,Top Employers,Bucks,Applebee's Neighborhood Grill & Bar,3,16,13
Bucks,Bowlero Limited,Top Employers,Bucks,Bowlero Limited,0,14,14
Bucks,UGI,Top Employers,Bucks,UGI,0,14,14
Bucks,Cenlar Fsb,Top Employers,Bucks,Cenlar Fsb,36,50,14
Bucks,Shiftmed,Top Employers,Bucks,Shiftmed,0,15,15
Bucks,Suez,Top Employers,Bucks,Suez,9,24,15
Bucks,Aldi,Top Employers,Bucks,Aldi,16,31,15
Bucks,Raymour & Flanigan Furniture,Top Employers,Bucks,Raymour & Flanigan Furniture,16,31,15
Bucks,Realtors,Top Employers,Bucks,Realtors,0,16,16
Bucks,Sesame Place Philadelphia,Top Employers,Bucks,Sesame Place Philadelphia,0,16,16
Bucks,Trinity Health Mid Atlantic,Top Employers,Bucks,Trinity Health Mid Atlantic,0,16,16
Bucks,University of New Hampshire,Top Employers,Bucks,University of New Hampshire,0,16,16
Bucks,Community Options Incorporated,Top Employers,Bucks,Community Options Incorporated,1,19,18
Bucks,Bridge Investment Group Llc,Top Employers,Bucks,Bridge Investment Group Llc,0,19,19
Bucks,Caleres,Top Employers,Bucks,Caleres,0,19,19
Bucks,Wawa Incorporated,Top Employers,Bucks,Wawa Incorporated,1,20,19
Bucks,Holland Center,Top Employers,Bucks,Holland Center,0,20,20
Bucks,State Farm Insurance Companies,Top Employers,Bucks,State Farm Insurance Companies,6,27,21
Bucks,Fred Beans Automotive Group,Top Employers,Bucks,Fred Beans Automotive Group,0,22,22
Bucks,Amplity Health,Top Employers,Bucks,Amplity Health,4,27,23
Bucks,Psc Point Pleasant,Top Employers,Bucks,Psc Point Pleasant,0,24,24
Bucks,Bonefish Grill,Top Employers,Bucks,Bonefish Grill,0,25,25
Bucks,Outback Steakhouse,Top Employers,Bucks,Outback Steakhouse,0,25,25
Bucks,Walgreens Boots Alliance Inc,Top Employers,Bucks,Walgreens Boots Alliance Inc,11,37,26
Bucks,Allied Universal,Top Employers,Bucks,Allied Universal,22,48,26
Bucks,Soliant,Top Employers,Bucks,Soliant,0,28,28
Bucks,Seaworld Parks & Entertainment,Top Employers,Bucks,Seaworld Parks & Entertainment,3,31,28
Bucks,United Health Services,Top Employers,Bucks,United Health Services,2,31,29
Bucks,"BJ's Wholesale Club, Inc.",Top Employers,Bucks,"BJ's Wholesale Club, Inc.",21,51,30
Bucks,CVS Health,Top Employers,Bucks,CVS Health,29,60,31
Bucks,County Bucks,Top Employers,Bucks,County Bucks,12,45,33
Bucks,Redners Markets Incorporated,Top Employers,Bucks,Redners Markets Incorporated,4,38,34
Bucks,Mercy Hospital,Top Employers,Bucks,Mercy Hospital,0,37,37
Bucks,Petco,Top Employers,Bucks,Petco,6,43,37
Bucks,Bayada Home Health Care,Top Employers,Bucks,Bayada Home Health Care,46,83,37
Bucks,Boston Market,Top Employers,Bucks,Boston Market,0,38,38
Bucks,Centinela Hospital Medical Center,Top Employers,Bucks,Centinela Hospital Medical Center,0,38,38
Bucks,Grand View Health,Top Employers,Bucks,Grand View Health,13,56,43
Bucks,Thomas Jefferson University,Top Employers,Bucks,Thomas Jefferson University,21,77,56
Bucks,Amazon,Top Employers,Bucks,Amazon,22,80,58
Central,Pennsylvania State University,Top Employers,Central,Pennsylvania State University,710,653,-57
Central,Allegheny Valley School,Top Employers,Central,Allegheny Valley School,45,17,-28
Central,AutoZone Auto Parts,Top Employers,Central,AutoZone Auto Parts,42,15,-27
Central,Barnes & Noble,Top Employers,Central,Barnes & Noble,46,21,-25
Central,Hr Office Incorporated,Top Employers,Central,Hr Office Incorporated,36,12,-24
Central,Guardian Elder Care,Top Employers,Central,Guardian Elder Care,38,18,-20
Central,Evangelical Community Hospital,Top Employers,Central,Evangelical Community Hospital,74,54,-20
Central,Roehl Transport,Top Employers,Central,Roehl Transport,21,10,-11
Central,Compass Group North America,Top Employers,Central,Compass Group North America,22,12,-10
Central,Accuweather Incorporated,Top Employers,Central,Accuweather Incorporated,27,18,-9
Central,Penns Woods Bancorp Incorporated,Top Employers,Central,Penns Woods Bancorp Incorporated,29,20,-9
Central,Brookdale Senior Living,Top Employers,Central,Brookdale Senior Living,21,13,-8
Central,Merakey,Top Employers,Central,Merakey,24,17,-7
Central,Larson Design Group,Top Employers,Central,Larson Design Group,42,36,-6
Central,Susquehanna University,Top Employers,Central,Susquehanna University,14,10,-4
Central,Talen Energy,Top Employers,Central,Talen Energy,21,18,-3
Central,Aramark,Top Employers,Central,Aramark,32,29,-3
Central,Select Medical,Top Employers,Central,Select Medical,18,16,-2
Central,Ministry Support Diakon Lutheran Social Ministries,Top Employers,Central,Ministry Support Diakon Lutheran Social Ministries,12,11,-1
Central,Rotech Healthcare,Top Employers,Central,Rotech Healthcare,13,12,-1
Central,The Home Depot Incorporated,Top Employers,Central,The Home Depot Incorporated,23,22,-1
Central,HCR ManorCare,Top Employers,Central,HCR ManorCare,15,15,0
Central,L3Harris,Top Employers,Central,L3Harris,9,10,1
Central,West Pharmaceutical Services,Top Employers,Central,West Pharmaceutical Services,13,14,1
Central,Wise Foods,Top Employers,Central,Wise Foods,19,20,1
Central,Target,Top Employers,Central,Target,8,10,2
Central,Performance Food Group Company,Top Employers,Central,Performance Food Group Company,12,14,2
Central,"Lowe's Companies, Inc",Top Employers,Central,"Lowe's Companies, Inc",89,91,2
Central,Central Susquehanna Intermediate Unit,Top Employers,Central,Central Susquehanna Intermediate Unit,13,16,3
Central,United Cerebral Palsy Of Central Pennsylvania Inc,Top Employers,Central,United Cerebral Palsy Of Central Pennsylvania Inc,6,10,4
Central,PepsiCo Inc.,Top Employers,Central,PepsiCo Inc.,9,13,4
Central,Aveanna,Top Employers,Central,Aveanna,22,26,4
Central,New Story,Top Employers,Central,New Story,7,12,5
Central,Ryder System Incorporated,Top Employers,Central,Ryder System Incorporated,7,12,5
Central,Lycoming County Government,Top Employers,Central,Lycoming County Government,8,13,5
Central,Consulate Health Care,Top Employers,Central,Consulate Health Care,9,14,5
Central,Merck & Company,Top Employers,Central,Merck & Company,6,12,6
Central,Aldi,Top Employers,Central,Aldi,8,14,6
Central,Wegmans,Top Employers,Central,Wegmans,12,18,6
Central,Diakon Lutheran Social Ministries,Top Employers,Central,Diakon Lutheran Social Ministries,14,20,6
Central,Service 1St Federal Credit Union,Top Employers,Central,Service 1St Federal Credit Union,5,12,7
Central,Api Technologies Incorporated,Top Employers,Central,Api Technologies Incorporated,12,19,7
Central,Dollar General,Top Employers,Central,Dollar General,7,15,8
Central,UnitedHealth Group,Top Employers,Central,UnitedHealth Group,7,15,8
Central,Minitab Incorporated,Top Employers,Central,Minitab Incorporated,8,16,8
Central,Genesis Healthcare Corporation,Top Employers,Central,Genesis Healthcare Corporation,2,11,9
Central,Trinity Plastics Incorporated,Top Employers,Central,Trinity Plastics Incorporated,5,14,9
Central,Harbor Freight Tools,Top Employers,Central,Harbor Freight Tools,0,10,10
Central,Pilot,Top Employers,Central,Pilot,0,10,10
Central,Videomining Corporation,Top Employers,Central,Videomining Corporation,0,10,10
Central,Crossmark,Top Employers,Central,Crossmark,2,12,10
Central,T Ross Brothers Construction,Top Employers,Central,T Ross Brothers Construction,2,12,10
Central,Community Services Group Csg,Top Employers,Central,Community Services Group Csg,9,19,10
Central,Goodwill,Top Employers,Central,Goodwill,10,20,10
Central,First National Bank Of Pennsylvania,Top Employers,Central,First National Bank Of Pennsylvania,0,11,11
Central,Lycoming College,Top Employers,Central,Lycoming College,0,12,12
Central,Bucknell University,Top Employers,Central,Bucknell University,7,19,12
Central,Family Dollar Stores Incorporated,Top Employers,Central,Family Dollar Stores Incorporated,0,13,13
Central,Select Specialty Hospital,Top Employers,Central,Select Specialty Hospital,0,13,13
Central,Bedrock Care,Top Employers,Central,Bedrock Care,0,14,14
Central,Great Dane,Top Employers,Central,Great Dane,0,14,14
Central,Bimbo Bakeries Usa,Top Employers,Central,Bimbo Bakeries Usa,4,18,14
Central,Advance Auto Parts Incorporated,Top Employers,Central,Advance Auto Parts Incorporated,11,25,14
Central,Crate & Barrel,Top Employers,Central,Crate & Barrel,0,15,15
Central,Community Options Incorporated,Top Employers,Central,Community Options Incorporated,0,16,16
Central,7-Eleven,Top Employers,Central,7-Eleven,2,18,16
Central,Dollar Tree,Top Employers,Central,Dollar Tree,5,21,16
Central,LHC Group,Top Employers,Central,LHC Group,30,46,16
Central,Intuit,Top Employers,Central,Intuit,2,19,17
Central,Homewatch Caregivers,Top Employers,Central,Homewatch Caregivers,5,22,17
Central,Advantage Sales & Marketing,Top Employers,Central,Advantage Sales & Marketing,3,21,18
Central,Bloomsburg University of Pennsylvania,Top Employers,Central,Bloomsburg University of Pennsylvania,39,57,18
Central,Commonwealth Pa,Top Employers,Central,Commonwealth Pa,0,19,19
Central,Centroid Corporation,Top Employers,Central,Centroid Corporation,0,20,20
Central,XPO Logistics,Top Employers,Central,XPO Logistics,1,21,20
Central,Petco,Top Employers,Central,Petco,8,28,20
Central,Home Instead Senior Care,Top Employers,Central,Home Instead Senior Care,1,23,22
Central,Cracker Barrel,Top Employers,Central,Cracker Barrel,0,23,23
Central,City of Hope,Top Employers,Central,City of Hope,8,40,32
Central,CVS Health,Top Employers,Central,CVS Health,35,69,34
Central,Help At Home Llc,Top Employers,Central,Help At Home Llc,4,45,41
Central,Geisinger Health System,Top Employers,Central,Geisinger Health System,373,426,53
Central,Mount Nittany Health,Top Employers,Central,Mount Nittany Health,0,55,55
Central,University of Pittsburgh Medical Center,Top Employers,Central,University of Pittsburgh Medical Center,155,218,63
Central,Bayada Home Health Care,Top Employers,Central,Bayada Home Health Care,85,160,75
Central,Geisinger,Top Employers,Central,Geisinger,471,776,305
Chester,Tower Health,Top Employers,Chester,Tower Health,266,89,-177
Chester,Health Care Service Corporation,Top Employers,Chester,Health Care Service Corporation,152,66,-86
Chester,Penn Medicine,Top Employers,Chester,Penn Medicine,251,168,-83
Chester,Phoenixville Hospital,Top Employers,Chester,Phoenixville Hospital,90,50,-40
Chester,Siemens,Top Employers,Chester,Siemens,86,54,-32
Chester,Kindercare,Top Employers,Chester,Kindercare,84,53,-31
Chester,"Universal Health Services, Inc.",Top Employers,Chester,"Universal Health Services, Inc.",48,18,-30
Chester,TE Connectivity,Top Employers,Chester,TE Connectivity,50,21,-29
Chester,Genesis Healthcare Corporation,Top Employers,Chester,Genesis Healthcare Corporation,115,86,-29
Chester,Ricoh Electronics,Top Employers,Chester,Ricoh Electronics,43,19,-24
Chester,Compass Group North America,Top Employers,Chester,Compass Group North America,47,24,-23
Chester,Sodexo,Top Employers,Chester,Sodexo,32,16,-16
Chester,Exelon,Top Employers,Chester,Exelon,39,25,-14
Chester,"Lowe's Companies, Inc",Top Employers,Chester,"Lowe's Companies, Inc",65,52,-13
Chester,Advance Auto Parts Incorporated,Top Employers,Chester,Advance Auto Parts Incorporated,29,18,-11
Chester,Capgemini,Top Employers,Chester,Capgemini,27,17,-10
Chester,Chester County Of Pennsylvania,Top Employers,Chester,Chester County Of Pennsylvania,27,17,-10
Chester,Comcast,Top Employers,Chester,Comcast,33,23,-10
Chester,The Devereux Foundation,Top Employers,Chester,The Devereux Foundation,53,43,-10
Chester,Dollar Tree,Top Employers,Chester,Dollar Tree,26,17,-9
Chester,"Sunrise Senior Living, Inc.",Top Employers,Chester,"Sunrise Senior Living, Inc.",28,19,-9
Chester,Vanguard Investments Canada Inc,Top Employers,Chester,Vanguard Investments Canada Inc,40,31,-9
Chester,Five Star Senior Living,Top Employers,Chester,Five Star Senior Living,27,20,-7
Chester,"QVC, Inc.",Top Employers,Chester,"QVC, Inc.",96,89,-7
Chester,Tower Health System,Top Employers,Chester,Tower Health System,128,122,-6
Chester,West Pharmaceutical Services Incorporated,Top Employers,Chester,West Pharmaceutical Services Incorporated,58,53,-5
Chester,West Pharmaceutical Services,Top Employers,Chester,West Pharmaceutical Services,19,16,-3
Chester,Ametek Incorporated,Top Employers,Chester,Ametek Incorporated,18,16,-2
Chester,Melmark,Top Employers,Chester,Melmark,18,16,-2
Chester,State Street Bank,Top Employers,Chester,State Street Bank,30,28,-2
Chester,Citadel,Top Employers,Chester,Citadel,16,15,-1
Chester,Acadia Healthcare,Top Employers,Chester,Acadia Healthcare,20,19,-1
Chester,Recovery Centers Of America,Top Employers,Chester,Recovery Centers Of America,30,29,-1
Chester,McDonald's,Top Employers,Chester,McDonald's,31,30,-1
Chester,Corvias Group,Top Employers,Chester,Corvias Group,19,19,0
Chester,The Home Depot Incorporated,Top Employers,Chester,The Home Depot Incorporated,33,33,0
Chester,Delta Medical Hospital,Top Employers,Chester,Delta Medical Hospital,20,21,1
Chester,Eurofins Scientific,Top Employers,Chester,Eurofins Scientific,21,22,1
Chester,"The Vanguard Group, Inc",Top Employers,Chester,"The Vanguard Group, Inc",191,192,1
Chester,Lasko Products Incorporated,Top Employers,Chester,Lasko Products Incorporated,16,18,2
Chester,"Whole Foods Market, Inc.",Top Employers,Chester,"Whole Foods Market, Inc.",18,20,2
Chester,University of Pennsylvania Health System,Top Employers,Chester,University of Pennsylvania Health System,22,26,4
Chester,Weston Solutions,Top Employers,Chester,Weston Solutions,22,26,4
Chester,Dsm,Top Employers,Chester,Dsm,10,15,5
Chester,Pyramid Healthcare,Top Employers,Chester,Pyramid Healthcare,10,15,5
Chester,Goodwill,Top Employers,Chester,Goodwill,11,16,5
Chester,Harbor Oaks Hospital,Top Employers,Chester,Harbor Oaks Hospital,15,20,5
Chester,Teva Pharmaceuticals,Top Employers,Chester,Teva Pharmaceuticals,33,38,5
Chester,Environmental Resources Management,Top Employers,Chester,Environmental Resources Management,10,16,6
Chester,Pep Boys,Top Employers,Chester,Pep Boys,10,16,6
Chester,S&T Bank,Top Employers,Chester,S&T Bank,12,18,6
Chester,Chrysler,Top Employers,Chester,Chrysler,21,27,6
Chester,Analytical Graphics Incorporated,Top Employers,Chester,Analytical Graphics Incorporated,7,15,8
Chester,Moody's Corporation,Top Employers,Chester,Moody's Corporation,7,15,8
Chester,"BJ's Wholesale Club, Inc.",Top Employers,Chester,"BJ's Wholesale Club, Inc.",10,19,9
Chester,Cushman And Wakefield National,Top Employers,Chester,Cushman And Wakefield National,8,18,10
Chester,Herr Foods Incorporated,Top Employers,Chester,Herr Foods Incorporated,18,28,10
Chester,Wegmans,Top Employers,Chester,Wegmans,24,34,10
Chester,A Duie Pyle,Top Employers,Chester,A Duie Pyle,27,37,10
Chester,County Chester,Top Employers,Chester,County Chester,42,52,10
Chester,State Farm Insurance Companies,Top Employers,Chester,State Farm Insurance Companies,4,15,11
Chester,Avantor,Top Employers,Chester,Avantor,6,17,11
Chester,"Takeda Pharmaceuticals North America, Inc.",Top Employers,Chester,"Takeda Pharmaceuticals North America, Inc.",8,19,11
Chester,Albertsons,Top Employers,Chester,Albertsons,6,18,12
Chester,YMCA,Top Employers,Chester,YMCA,16,28,12
Chester,Comforcare Home Health Care Southern County,Top Employers,Chester,Comforcare Home Health Care Southern County,2,15,13
Chester,Walgreens Boots Alliance Inc,Top Employers,Chester,Walgreens Boots Alliance Inc,11,24,13
Chester,Cenero Llc,Top Employers,Chester,Cenero Llc,2,16,14
Chester,Advantage Sales & Marketing,Top Employers,Chester,Advantage Sales & Marketing,3,17,14
Chester,Spring Education Group,Top Employers,Chester,Spring Education Group,7,21,14
Chester,Aavalar Consulting,Top Employers,Chester,Aavalar Consulting,1,16,15
Chester,Acme Supermarkets,Top Employers,Chester,Acme Supermarkets,0,16,16
Chester,Saint Gobain,Top Employers,Chester,Saint Gobain,26,42,16
Chester,Malvern School,Top Employers,Chester,Malvern School,11,29,18
Chester,Wawa Incorporated,Top Employers,Chester,Wawa Incorporated,0,19,19
Chester,Charles River Laboratories,Top Employers,Chester,Charles River Laboratories,11,30,19
Chester,Aveanna,Top Employers,Chester,Aveanna,15,34,19
Chester,Absorption Systems,Top Employers,Chester,Absorption Systems,0,20,20
Chester,Airgas Incorporated,Top Employers,Chester,Airgas Incorporated,0,21,21
Chester,Brookdale Senior Living,Top Employers,Chester,Brookdale Senior Living,1,22,21
Chester,Envestnet Group Incorporated,Top Employers,Chester,Envestnet Group Incorporated,0,23,23
Chester,Kelly,Top Employers,Chester,Kelly,0,25,25
